kek|[+temporalSubConj]%D7%9B%D7%A9[+preposition]%D7%9B|-|-|-|-|-|+|-|-|-|-|+|-|+|-|+|-|-|+|-
kel|[+temporalSubConj]%D7%9B%D7%A9[+preposition]%D7%9C|+|-|-|-|-|+|-|-|-|-|+|-|+|-|-|+|-|+|-
kel|[+temporalSubConj]%D7%9B%D7%A9[+preposition]%D7%9C|-|-|-|-|-|+|-|-|-|-|+|-|+|-|-|+|-|+|-
kem|[+temporalSubConj]%D7%9B%D7%A9[+preposition]%D7%9E|-|-|-|-|-|+|-|-|-|-|+|-|+|-|-|-|+|+|-
ke|[+temporalSubConj]%D7%9B%D7%A9|-|-|-|-|-|+|-|-|-|-|+|+|+|-|-|-|-|-|-
k|[+preposition]%D7%9B|+|-|-|-|-|-|-|-|-|-|-|-|+|-|+|-|-|+|-
k|[+preposition]%D7%9B|-|-|-|-|-|-|-|-|-|-|-|-|+|-|+|-|-|+|-
lkeb|[+temporalSubConj]%D7%9C%D7%9B%D7%A9[+preposition]%D7%91|+|-|-|-|-|+|-|-|-|-|+|-|+|+|-|-|-|+|-
lkeb|[+temporalSubConj]%D7%9C%D7%9B%D7%A9[+preposition]%D7%91|-|-|-|-|-|-|-|+|-|-|+|-|+|+|-|-|-|+|-
lkek|[+temporalSubConj]%D7%9C%D7%9B%D7%A9[+preposition]%D7%9B|+|-|-|-|-|-|-|+|-|-|+|-|+|-|+|-|-|+|-
lkek|[+temporalSubConj]%D7%9C%D7%9B%D7%A9[+preposition]%D7%9B|-|-|-|-|-|-|-|+|-|-|+|-|+|-|+|-|-|+|-
lkel|[+temporalSubConj]%D7%9C%D7%9B%D7%A9[+preposition]%D7%9C|+|-|-|-|-|-|-|+|-|-|+|-|+|-|-|+|-|+|-
lkel|[+temporalSubConj]%D7%9C%D7%9B%D7%A9[+preposition]%D7%9C|-|-|-|-|-|-|-|+|-|-|+|-|+|-|-|+|-|+|-
lkem|[+temporalSubConj]%D7%9C%D7%9B%D7%A9[+preposition]%D7%9E|-|-|-|-|-|-|-|+|-|-|+|-|+|-|-|-|+|+|-
lke|[+temporalSubConj]%D7%9C%D7%9B%D7%A9|-|-|-|-|-|-|-|+|-|-|+|+|+|-|-|-|-|-|-
lk|[+preposition]%D7%9C[+adverb]%D7%9B|-|-|-|+|-|-|-|-|-|-|-|-|+|-|-|+|-|+|-
l|[+preposition]%D7%9C|+|-|-|-|-|-|-|-|-|-|-|-|+|-|-|+|-|+|-
l|[+preposition]%D7%9C|-|-|-|-|-|+|-|-|-|-|-|-|+|-|-|+|-|+|-
meb|[+temporalSubConj]%D7%9E%D7%A9[+preposition]%D7%91|+|-|-|-|-|-|+|-|-|-|+|-|+|+|-|-|-|+|-
meb|[+temporalSubConj]%D7%9E%D7%A9[+preposition]%D7%91|-|-|-|-|-|-|+|-|-|-|+|-|+|+|-|-|-|+|-
mek|[+temporalSubConj]%D7%9E%D7%A9[+adverb]%D7%9B|-|-|-|+|-|-|+|-|-|-|+|-|+|-|-|-|-|-|-
mek|[+temporalSubConj]%D7%9E%D7%A9[+preposition]%D7%9B|+|-|-|-|-|-|+|-|-|-|+|-|+|-|+|-|-|+|-
mek|[+temporalSubConj]%D7%9E%D7%A9[+preposition]%D7%9B|-|-|-|-|-|-|+|-|-|-|+|-|+|-|+|-|-|+|-
mel|[+temporalSubConj]%D7%9E%D7%A9[+preposition]%D7%9C|+|-|-|-|-|-|+|-|-|-|+|-|+|-|-|+|-|+|-
mel|[+temporalSubConj]%D7%9E%D7%A9[+preposition]%D7%9C|-|-|-|-|-|-|+|-|-|-|+|-|+|-|-|+|-|+|-
mem|[+temporalSubConj]%D7%9E%D7%A9[+preposition]%D7%9E|-|-|-|-|-|-|+|-|-|-|+|-|+|-|-|-|+|+|-
me|[+temporalSubConj]%D7%9E%D7%A9|-|-|-|-|-|-|+|-|-|-|+|+|+|-|-|-|-|-|-
mk|[+preposition]%D7%9E[+adverb]%D7%9B|-|-|-|+|-|-|-|-|-|-|-|-|-|-|-|-|+|-|-
mlk|[+preposition]%D7%9E[+preposition]%D7%9C[+adverb]%D7%9B|-|-|-|+|-|-|-|-|-|-|-|-|-|-|-|-|+|-|-
m|[+preposition]%D7%9E|-|-|-|-|-|-|-|-|-|-|-|-|+|-|-|-|+|+|-
wbk|[+conjunction]%D7%95[+preposition]%D7%91[+adverb]%D7%9B|-|-|-|+|-|-|-|-|-|-|-|-|-|+|-|-|-|-|-
wb|[+conjunction]%D7%95[+preposition]%D7%91|+|-|-|-|-|-|-|-|-|-|-|-|+|+|-|-|-|+|+
wb|[+conjunction]%D7%95[+preposition]%D7%91|-|-|-|-|-|-|-|-|-|-|-|-|+|+|-|-|-|+|+
webk|[+conjunction]%D7%95[+relativizer/subordinatingConjunction]%D7%A9[+preposition]%D7%91[+adverb]%D7%9B|-|-|-|+|-|-|-|-|-|+|-|+|-|+|-|-|-|+|-
web|[+conjunction]%D7%95[+relativizer/subordinatingConjunction]%D7%A9[+preposition]%D7%91|+|-|-|-|+|-|-|-|-|+|+|-|+|+|-|-|-|+|+
web|[+conjunction]%D7%95[+relativizer/subordinatingConjunction]%D7%A9[+preposition]%D7%91|-|-|-|-|+|-|-|-|-|+|-|-|+|+|-|-|-|+|+
wekb|[+conjunction]%D7%95[+relativizer/subordinatingConjunction]%D7%A9[+preposition]%D7%9B[+preposition]%D7%91|-|-|-|-|+|-|-|-|-|-|-|-|+|+|+|-|-|+|+
wekeb|[+conjunction]%D7%95[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9B%D7%A9[+preposition]%D7%91|-|-|-|-|+|+|-|-|-|+|+|-|+|+|-|-|-|+|+
wekek|[+conjunction]%D7%95[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9B%D7%A9[+adverb]%D7%9B|-|-|-|+|+|+|-|-|-|+|+|-|+|-|-|-|-|-|+
wekek|[+conjunction]%D7%95[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9B%D7%A9[+preposition]%D7%9B|+|-|-|-|+|+|-|-|-|+|+|-|+|-|+|-|-|+|+
wekek|[+conjunction]%D7%95[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9B%D7%A9[+preposition]%D7%9B|-|-|-|-|+|+|-|-|-|+|+|-|+|-|+|-|-|+|+
wekel|[+conjunction]%D7%95[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9B%D7%A9[+preposition]%D7%9C|+|-|-|-|+|+|-|-|-|+|+|-|+|-|-|+|-|+|+
wekel|[+conjunction]%D7%95[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9B%D7%A9[+preposition]%D7%9C|-|-|-|-|+|+|-|-|-|+|+|-|+|-|-|+|-|+|+
wekem|[+conjunction]%D7%95[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9B%D7%A9[+preposition]%D7%9E|-|-|-|-|+|+|-|-|-|+|+|-|+|-|-|-|+|+|+
weke|[+conjunction]%D7%95[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9B%D7%A9|-|-|-|-|+|+|-|-|-|+|+|+|+|-|-|-|-|-|+
wek|[+conjunction]%D7%95[+relativizer/subordinatingConjunction]%D7%A9[+adverb]%D7%9B|-|-|-|+|-|+|-|-|-|+|-|-|+|-|-|-|-|-|+
wek|[+conjunction]%D7%95[+relativizer/subordinatingConjunction]%D7%A9[+preposition]%D7%9B|+|-|-|-|+|-|-|-|-|+|-|-|+|-|+|-|-|+|+
wek|[+conjunction]%D7%95[+relativizer/subordinatingConjunction]%D7%A9[+preposition]%D7%9B|-|-|-|-|+|-|-|-|-|+|-|-|+|-|+|-|-|+|+
welkeb|[+conjunction]%D7%95[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9C%D7%9B%D7%A9[+preposition]%D7%91|+|-|-|-|+|-|-|+|-|+|+|-|+|+|-|-|-|+|+
welkeb|[+conjunction]%D7%95[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9C%D7%9B%D7%A9[+preposition]%D7%91|-|-|-|-|+|-|-|+|-|+|+|-|+|+|-|-|-|+|+
